Id_precio,grupo_m,caracteristicas_m,consecutivo_m,precio,id_unidad,Comentarios,id_proveedores
70,LAM,360010,002,0,0022,,0001
71,LAM,360012,001,83000,0022,,0001
72,LAM,360012,002,134000,0022,,0001
73,LAM,360014,001,100000,0022,,0001
74,LAM,360014,002,124000,0022,,0001
75,LAM,360016,001,80000,0022,,0001
76,LAM,360016,002,92000,0022,,0001
77,LAM,360018,001,65400,0022,,0001
78,LAM,360018,002,81000,0022,,0001
79,LAM,360020,001,44160,0022,,0001
80,LAM,360020,002,67300,0022,,0001
81,LAM,360022,001,39600,0022,,0001
82,LAM,360022,002,51300,0022,,0001
83,LAM,GV0010,001,134000,0022,,0001
84,LAM,GV0010,002,192800,0022,,0001
85,LAM,GV0012,001,108240,0022,,0001
86,LAM,GV0012,002,161080,0022,,0001
87,LAM,GV0014,001,100000,0022,,0001
88,LAM,GV0014,002,128690,0022,,0001
89,LAM,GV0016,001,61940,0022,,0001
90,LAM,GV0016,002,92154,0022,,0001
91,LAM,GV0018,001,49130,0022,,0001
92,LAM,GV0018,002,73086,0022,,0001
93,LAM,GV0020,001,36315,0022,,0001
94,LAM,GV0020,002,54019,0022,,0001
95,LAM,GV0022,001,29900,0022,,0001
96,LAM,GV0022,002,44500,0022,,0001
97,LAM,FR3160,001,0,0022,,0001
98,LAM,FR1400,001,0,0022,,0001
99,LAM,FR3800,001,0,0022,,0001
100,LAM,FR1200,001,0,0022,,0001
101,LAM,FR5800,001,0,0022,,0001
102,LAM,FR5800,002,0,0022,,0001
103,LAM,FR3400,001,0,0022,,0001
104,LAM,IN1800,001,0,0022,,0001
105,LAM,IN3160,001,0,0022,,0001
106,LAM,IN1400,001,0,0022,,0001
107,LAM,IN5160,001,0,0022,,0001
108,LAM,IN3800,001,0,0022,,0001
109,LAM,IN1200,001,0,0022,,0001
110,LAM,IN5800,001,0,0022,,0001
111,LAM,IN3400,001,0,0022,,0001
112,LAM,AF1800,001,0,0022,,0001
113,LAM,AF3160,001,0,0022,,0001
